"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","getAirshipTimestamp - should remove milliseconds - 2","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should return true when timestamp is a valid Unix timestamp","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should convert input from v0 to v1 when the request version is v0 and the implementation version is v1","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","2","should save the service in the cache","ServiceSelector Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","1","should fail trying to convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","2","when a mix of VDM enabled & non-VDM destinations are available, the timestamp will be applied to only non-VDM destination","controller utility tests -- handleTimestampInEvents for retl connections","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","2","should return the input unchanged when the implementation version and request version are the same i.e. v1","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","1","getAirshipTimestamp - should return with correct format when timestamp contains microseconds without Z","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should return false when timestamp is not a valid Unix timestamp or date string(""91504"")","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","when events(all identify) without context.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","1","getPrimaryDestinationService should return cdk v2 dest service","ServiceSelector Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","1","should return false when timestamp is not a valid Unix timestamp or date string(invalid_timestamp)","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should fail trying to convert input from v2 to v1 format when the request version is v2 and the implementation version is v1","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","2","should return the correct attribute payload when jsonAttributes is present in integrations object and jsonAttribute(data) is object & traits include an object","Airship utils - prepareAttributePayload","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","getPrimaryDestinationService should return native dest service","ServiceSelector Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","1","getAirshipTimestamp - should remove milliseconds","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","getDestinationService should return native dest service","ServiceSelector Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","1","should find all the matching paths it failed for and curate error message","checkIfEventIsAbortableAndExtractErrorMessage","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","4","should handleFailureEventsSource","Source PostTransformation Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","2","should return the input unchanged when the implementation version and request version are the same i.e. v0","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","4","should enhance events with query params","PreTransformation Service","Mon Feb 17 09:18:50 GMT 2025","passed","Mon Feb 17 09:18:50 GMT 2025","","","",""
"","2","should handle events with all expected fields present and return non-abortable when no match","checkIfEventIsAbortableAndExtractErrorMessage","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","2","should return the events as batch in SourceTransformationResponse if it is an array","Source PostTransformation Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","17","getAirshipTimestamp - should throw error when timestamp is not supported","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","3","should return the correct attribute payload when jsonAttributes is present in integrations object and jsonAttribute(widgets_installed#123) is object & traits include an object","Airship utils - prepareAttributePayload","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","3","should return the correct attribute payload when jsonAttributes is not present in integrations object ","Airship utils - prepareAttributePayload","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","0","isCdkV2Destination should return false","ServiceSelector Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","7","should return the input unchanged when the implementation version is not found","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","1","when proc events(identify, track, group) are mixed, timestamp should be taken from relevant places for identify & track, skipped for group","controller utility tests -- handleTimestampInEvents for retl connections","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","3","should convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","2","getAirshipTimestamp - should return with correct format when T is present but Z is not present","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should find the right value for which it should fail","checkIfEventIsAbortableAndExtractErrorMessage","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","153","should return the right transform","Misc tests","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","4","should return the event as SourceTransformationResponse if it has outputToSource property","Source PostTransformation Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","1","should convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","2","should return the event as batch in SourceTransformationResponse if it is a single object","Source PostTransformation Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","8","should handleProcessorTransformFailureEvents","PostTransformation Service","Mon Feb 17 09:18:50 GMT 2025","passed","Mon Feb 17 09:18:50 GMT 2025","","","",""
"","1","should return true when timestamp is a valid date string","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","2","should return the correct attribute payload when jsonAttributes is present in integrations object and jsonAttribute(widgets_installed#123) is object","Airship utils - prepareAttributePayload","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","3","sourceTransformRoutine - success","NativeIntegration Source Service","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","3","should return true when timestamp is a valid Unix timestamp with milliseconds","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should return false when timestamp is not a valid Unix timestamp or date string(91504)","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","should handle undefined or null event fields gracefully","checkIfEventIsAbortableAndExtractErrorMessage","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","1","should return an empty array when the input is an empty array","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","12","doProcessorTransformation - failure","NativeIntegration Service","Mon Feb 17 09:18:48 GMT 2025","passed","Mon Feb 17 09:18:48 GMT 2025","","","",""
"","1","should convert input from v1 to v0 format when the request version is v1 and the implementation version is v0","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","1","getAirshipTimestamp - should return with correct format when T & Z is not present","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","when events(all track) without properties.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","5","getAirshipTimestamp - should return the same timestamp","Airship utils - getAirshipTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","2","should throw error when jsonAttributes is present in integrations object and jsonAttribute(widgets_installed#123) is array","Airship utils - prepareAttributePayload","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","isCdkV2Destination should return true","ServiceSelector Service","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","2","sourceTransformRoutine - failure","NativeIntegration Source Service","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","2","should return non-abortable and empty error message when failCount is 0","checkIfEventIsAbortableAndExtractErrorMessage","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","3","doProcessorTransformation - success","NativeIntegration Service","Mon Feb 17 09:18:48 GMT 2025","passed","Mon Feb 17 09:18:48 GMT 2025","","","",""
"","0","should find the right value for which it should fail and passes otherwise for disallowed events","checkIfEventIsAbortableAndExtractErrorMessage","Mon Feb 17 09:18:47 GMT 2025","passed","Mon Feb 17 09:18:47 GMT 2025","","","",""
"","2","should fail trying to convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
"","87","should return the default configuration as a JSON string","Misc | getFeatures","Mon Feb 17 09:18:49 GMT 2025","passed","Mon Feb 17 09:18:49 GMT 2025","","","",""
"","1","should return false when timestamp is not a valid Unix timestamp or date string(uuid)","Airship utils - isValidTimestamp","Mon Feb 17 09:18:45 GMT 2025","passed","Mon Feb 17 09:18:45 GMT 2025","","","",""
"","1","when events(all track), timestamp should be taken from properties.timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Mon Feb 17 09:18:43 GMT 2025","passed","Mon Feb 17 09:18:43 GMT 2025","","","",""
