"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16","(webhook) failure scenario with single event config not containing webhook endpoint","Destination api tests","Thu Feb 20 08:58:02 GMT 2025","passed","Thu Feb 20 08:58:02 GMT 2025","","Processor transform tests","",""
"","1","when events(all identify) without context.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Thu Feb 20 08:57:59 GMT 2025","passed","Thu Feb 20 08:57:59 GMT 2025","","","",""
"","7","features upgradedToSourceTransformV2 to be boolean","features tests","Thu Feb 20 08:58:02 GMT 2025","passed","Thu Feb 20 08:58:02 GMT 2025","","","",""
"","1","getAirshipTimestamp - should return with correct format when timestamp contains microseconds without Z","Airship utils - getAirshipTimestamp","Thu Feb 20 08:58:03 GMT 2025","passed","Thu Feb 20 08:58:03 GMT 2025","","","",""
"","11","(NA_SOURCE) failure source transform ","Source api tests","Thu Feb 20 08:58:03 GMT 2025","passed","Thu Feb 20 08:58:03 GMT 2025","","","",""
"","25","(webhook) success scenario with single event","Destination api tests","Thu Feb 20 08:58:02 GMT 2025","passed","Thu Feb 20 08:58:02 GMT 2025","","Processor transform tests","",""
"","1","should return false when timestamp is not a valid Unix timestamp or date string(invalid_timestamp)","Airship utils - isValidTimestamp","Thu Feb 20 08:58:03 GMT 2025","passed","Thu Feb 20 08:58:03 GMT 2025","","","",""
"","14","(webhook) successful source transform for source present in v1 and server providing v0 endpoint","Source api tests","Thu Feb 20 08:58:03 GMT 2025","passed","Thu Feb 20 08:58:03 GMT 2025","","","",""
"","16","transformation at processor failure","Destination controller tests","Thu Feb 20 08:58:04 GMT 2025","passed","Thu Feb 20 08:58:04 GMT 2025","","Destination processor transform tests","",""
"","10","failing source transform","Source controller tests","Thu Feb 20 08:58:05 GMT 2025","passed","Thu Feb 20 08:58:05 GMT 2025","","V1 Source transform tests","",""
"","7","should return the input unchanged when the implementation version is not found","adaptInputToVersion","Thu Feb 20 08:57:59 GMT 2025","passed","Thu Feb 20 08:57:59 GMT 2025","","","",""
"","17","successful source transform","Source controller tests","Thu Feb 20 08:58:05 GMT 2025","passed","Thu Feb 20 08:58:05 GMT 2025","","V0 Source transform tests","",""
"","10","(mock destination) Router transformation","Api tests with a mock source/destination","Thu Feb 20 08:58:02 GMT 2025","passed","Thu Feb 20 08:58:02 GMT 2025","","","",""
"","2","when events(all track), timestamp should be taken from properties.timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Thu Feb 20 08:57:59 GMT 2025","passed","Thu Feb 20 08:57:59 GMT 2025","","","",""
"","1","should fail trying to convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Thu Feb 20 08:57:59 GMT 2025","passed","Thu Feb 20 08:57:59 GMT 2025","","","",""
"","9","failing source transform","Source controller tests","Thu Feb 20 08:58:05 GMT 2025","passed","Thu Feb 20 08:58:05 GMT 2025","","V2 Source transform tests","",""
"","8","(mock destination) v1 proxy","Api tests with a mock source/destination","Thu Feb 20 08:58:02 GMT 2025","passed","Thu Feb 20 08:58:02 GMT 2025","","","",""
