"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7","{""description"": ""test-1"", ""input"": [Object], ""mockFns"": [Function mockFns], ""module"": ""source"", ""name"": ""signl4"", ""output"": [Object], ""version"": ""v0""} -> test-1  (sourceTransformV2Flag: false) (index: 2)","/home/runner/work/rudder-transformer/rudder-transformer/test/integrations/sources/signl4/data.ts Tests","Thu Jan 30 12:04:17 GMT 2025","passed","Thu Jan 30 12:04:17 GMT 2025","","signl4 source","",""
"","2","when events(all track), timestamp should be taken from properties.timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Thu Jan 30 12:02:50 GMT 2025","passed","Thu Jan 30 12:02:50 GMT 2025","","","",""
"","37","(shopify) success source transform (monday)","Source api tests","Thu Jan 30 12:02:54 GMT 2025","passed","Thu Jan 30 12:02:54 GMT 2025","","","",""
"","2","should convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Thu Jan 30 12:02:50 GMT 2025","passed","Thu Jan 30 12:02:50 GMT 2025","","","",""
"","14","{""description"": ""Topic Not found"", ""input"": [Object], ""module"": ""source"", ""name"": ""shopify"", ""output"": [Object], ""skipGo"": ""not possible"", ""version"": ""v1""} -> Topic Not found  (sourceTransformV2Flag: false) (index: 6)","/home/runner/work/rudder-transformer/rudder-transformer/test/integrations/sources/shopify/data.ts Tests","Thu Jan 30 12:04:18 GMT 2025","passed","Thu Jan 30 12:04:18 GMT 2025","","shopify source","",""
"","78","(pinterest_tag) failure router transform(partial failure)","Destination api tests","Thu Jan 30 12:02:54 GMT 2025","passed","Thu Jan 30 12:02:54 GMT 2025","","Router transform tests","",""
"","4","should convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Thu Jan 30 12:02:50 GMT 2025","passed","Thu Jan 30 12:02:50 GMT 2025","","","",""
"","19","{""description"": ""Track Call -> Order Partially Fulfilled event"", ""input"": [Object], ""mockFns"": [Function mockFns], ""module"": ""source"", ""name"": ""shopify"", ""output"": [Object], ""version"": ""v1""} -> Track Call -> Order Partially Fulfilled event  (sourceTransformV2Flag: true) (index: 17)","/home/runner/work/rudder-transformer/rudder-transformer/test/integrations/sources/shopify/data.ts Tests","Thu Jan 30 12:04:18 GMT 2025","passed","Thu Jan 30 12:04:18 GMT 2025","","shopify source","",""
"","1","when events(all track) without properties.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Thu Jan 30 12:02:50 GMT 2025","passed","Thu Jan 30 12:02:50 GMT 2025","","","",""
"","10","transformation at router failure","Destination controller tests","Thu Jan 30 12:02:55 GMT 2025","passed","Thu Jan 30 12:02:55 GMT 2025","","Destination router transform tests","",""
"","2","should fail trying to convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Thu Jan 30 12:02:50 GMT 2025","passed","Thu Jan 30 12:02:50 GMT 2025","","","",""
