"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","should return the input unchanged when the implementation version and request version are the same i.e. v1","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","2","should handle undefined or null event fields gracefully","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","1","should handle events with all expected fields present and return non-abortable when no match","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","83","should return the default configuration as a JSON string","Misc | getFeatures","Tue Feb 04 07:07:24 GMT 2025","passed","Tue Feb 04 07:07:24 GMT 2025","","","",""
"","2","should return the event as SourceTransformationResponse if it has outputToSource property","Source PostTransformation Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","2","should convert input from v1 to v0 format when the request version is v1 and the implementation version is v0","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","when events(all identify) without context.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","3","doProcessorTransformation - success","NativeIntegration Service","Tue Feb 04 07:07:22 GMT 2025","passed","Tue Feb 04 07:07:22 GMT 2025","","","",""
"","1","isCdkV2Destination should return false","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","16","doProcessorTransformation - failure","NativeIntegration Service","Tue Feb 04 07:07:22 GMT 2025","passed","Tue Feb 04 07:07:22 GMT 2025","","","",""
"","3","sourceTransformRoutine - success","NativeIntegration Source Service","Tue Feb 04 07:07:22 GMT 2025","passed","Tue Feb 04 07:07:22 GMT 2025","","","",""
"","1","when events(all track) without properties.timestamp, timestamp should be taken from timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","157","should return the right transform","Misc tests","Tue Feb 04 07:07:24 GMT 2025","passed","Tue Feb 04 07:07:24 GMT 2025","","","",""
"","6","should return the input unchanged when the implementation version is not found","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","8","should handleProcessorTransformFailureEvents","PostTransformation Service","Tue Feb 04 07:07:25 GMT 2025","passed","Tue Feb 04 07:07:25 GMT 2025","","","",""
"","2","should return non-abortable and empty error message when failCount is 0","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","1","should fail trying to convert input from v2 to v1 format when the request version is v2 and the implementation version is v1","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","2","when proc events(identify, track, group) are mixed, timestamp should be taken from relevant places for identify & track, skipped for group","controller utility tests -- handleTimestampInEvents for retl connections","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","should convert input from v0 to v1 when the request version is v0 and the implementation version is v1","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","isCdkV2Destination should return true","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","2","should save the service in the cache","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","2","sourceTransformRoutine - failure","NativeIntegration Source Service","Tue Feb 04 07:07:22 GMT 2025","passed","Tue Feb 04 07:07:22 GMT 2025","","","",""
"","5","fetchCachedService should throw error for invalidService","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","2","should return the events as batch in SourceTransformationResponse if it is an array","Source PostTransformation Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","2","should convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","should fail trying to convert input from v2 to v0 format when the request version is v2 and the implementation version is v0","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","getPrimaryDestinationService should return cdk v2 dest service","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","1","should find the right value for which it should fail","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","10","should handleFailureEventsSource","Source PostTransformation Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","1","should return the input unchanged when the implementation version and request version are the same i.e. v0","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","2","should return an empty array when the input is an empty array","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","2","getPrimaryDestinationService should return native dest service","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","4","should enhance events with query params","PreTransformation Service","Tue Feb 04 07:07:25 GMT 2025","passed","Tue Feb 04 07:07:25 GMT 2025","","","",""
"","2","when events(all track), timestamp should be taken from properties.timestamp","controller utility tests -- handleTimestampInEvents for retl connections","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","85","should return configuration with upgradedToSourceTransformV2 overridden by environment variable","Misc | getFeatures","Tue Feb 04 07:07:24 GMT 2025","passed","Tue Feb 04 07:07:24 GMT 2025","","","",""
"","1","should fail trying to convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","should find the right value for which it should fail and passes otherwise for emails","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","1","should find the right value for which it should fail and passes otherwise for userIds","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","0","should find the right value for which it should fail and passes otherwise for disallowed events","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","1","when a mix of VDM enabled & non-VDM destinations are available, the timestamp will be applied to only non-VDM destination","controller utility tests -- handleTimestampInEvents for retl connections","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","1","getDestinationService should return native dest service","ServiceSelector Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","1","should convert input from v2 to v1 format when the request version is v2 and the implementation version is v1","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","2","should convert input from v1 to v2 format when the request version is v1 and the implementation version is v2","adaptInputToVersion","Tue Feb 04 07:07:18 GMT 2025","passed","Tue Feb 04 07:07:18 GMT 2025","","","",""
"","2","should return the event as batch in SourceTransformationResponse if it is a single object","Source PostTransformation Service","Tue Feb 04 07:07:23 GMT 2025","passed","Tue Feb 04 07:07:23 GMT 2025","","","",""
"","1","should find all the matching paths it failed for and curate error message","checkIfEventIsAbortableAndExtractErrorMessage","Tue Feb 04 07:07:21 GMT 2025","passed","Tue Feb 04 07:07:21 GMT 2025","","","",""
"","2","should save the handlers in the respective maps","FetchHandlers Service","Tue Feb 04 07:07:24 GMT 2025","passed","Tue Feb 04 07:07:24 GMT 2025","","","",""
